product_id,product_name,category,brand,price,rating,stock,discount
P001,MacBook Air M3,Laptop,Apple,89999,4.8,8,10
P002,Dell XPS 15,Laptop,Dell,125000,4.7,5,12
P003,HP Pavilion 15,Laptop,HP,64999,4.3,15,8
P004,Lenovo IdeaPad Slim 5,Laptop,Lenovo,58999,4.2,22,15
P005,ASUS ROG Strix,Laptop,ASUS,145000,4.6,6,10
P006,MacBook Pro 14,Laptop,Apple,169999,4.9,4,7
P007,Dell Inspiron 14,Laptop,Dell,55999,4.1,19,10
P008,HP Envy x360,Laptop,HP,78999,4.4,11,13
P009,Lenovo Legion 5,Laptop,Lenovo,114999,4.5,7,9
P010,ASUS VivoBook 15,Laptop,ASUS,61999,4.2,18,14
P011,iPhone 15,Mobile,Apple,69999,4.7,12,5
P012,Samsung Galaxy S24,Mobile,Samsung,74999,4.6,9,8
P013,OnePlus 12,Mobile,OnePlus,59999,4.5,18,10
P014,Google Pixel 8,Mobile,Google,65999,4.4,7,12
P015,Nothing Phone 2,Mobile,Nothing,44999,4.3,25,15
P016,iPhone 15 Pro,Mobile,Apple,129999,4.8,6,6
P017,Samsung Galaxy A55,Mobile,Samsung,39999,4.4,21,11
P018,OnePlus Nord 4,Mobile,OnePlus,32999,4.5,16,9
P019,Google Pixel 8a,Mobile,Google,52999,4.3,10,13
P020,Samsung Galaxy Z Flip 5,Mobile,Samsung,99999,4.6,5,10
P021,Sony WH-1000XM5,Headphones,Sony,29999,4.8,14,15
P022,Apple AirPods Pro 2,Headphones,Apple,24999,4.7,20,8
P023,Samsung Galaxy Buds2 Pro,Headphones,Samsung,13999,4.5,24,12
P024,OnePlus Buds Pro 2,Headphones,OnePlus,11999,4.4,17,10
P025,Logitech Zone Vibe 100,Headphones,Logitech,8999,4.2,13,18
P026,Sony WF-1000XM5,Headphones,Sony,27999,4.6,8,9
P027,Apple AirPods 3,Headphones,Apple,18999,4.6,26,7
P028,Google Pixel Buds Pro,Headphones,Google,17999,4.3,12,14
P029,Logitech K380,Keyboard,Logitech,2999,4.5,35,20
P030,Keychron K2,Keyboard,Keychron,7499,4.7,16,12
P031,Apple Magic Keyboard,Keyboard,Apple,10999,4.4,10,8
P032,ASUS TUF Gaming K3,Keyboard,ASUS,5999,4.3,18,15
P033,HP Wireless Keyboard,Keyboard,HP,2499,4.1,29,18
P034,Logitech G Pro X Keyboard,Keyboard,Logitech,12999,4.6,9,10
P035,Dell Premier Keyboard,Keyboard,Dell,4999,4.2,14,13
P036,Lenovo Professional Keyboard,Keyboard,Lenovo,3499,4.3,22,16
P037,Dell UltraSharp U2723QE,Monitor,Dell,54999,4.7,6,11
P038,LG UltraGear 27GN800,Monitor,LG,32999,4.6,11,14
P039,Samsung Odyssey G5,Monitor,Samsung,28999,4.5,8,16
P040,ASUS ProArt PA278QV,Monitor,ASUS,37999,4.4,7,9
P041,HP M27fq,Monitor,HP,21999,4.2,15,18
P042,Lenovo ThinkVision T24i,Monitor,Lenovo,19999,4.3,13,12
P043,Apple Studio Display,Monitor,Apple,159999,4.8,3,5
P044,Samsung Smart Monitor M8,Monitor,Samsung,56999,4.5,5,10
P045,Apple iPad Air,Tablet,Apple,59999,4.7,9,7
P046,Samsung Galaxy Tab S9,Tablet,Samsung,74999,4.6,8,12
P047,OnePlus Pad 2,Tablet,OnePlus,39999,4.5,14,10
P048,Lenovo Tab P12,Tablet,Lenovo,29999,4.3,19,15
P049,Google Pixel Tablet,Tablet,Google,67999,4.4,6,9
P050,ASUS ROG Flow Z13,Tablet,ASUS,139999,4.5,4,8
P051,Apple iPad 10th Gen,Tablet,Apple,38999,4.6,17,11
P052,Samsung Galaxy Tab A9,Tablet,Samsung,17999,4.2,28,16
P053,Logitech MX Master 3S,Accessories,Logitech,8999,4.8,21,14
P054,Apple MagSafe Charger,Accessories,Apple,4499,4.5,30,10
P055,Samsung 25W Charger,Accessories,Samsung,1499,4.4,42,20
P056,OnePlus Power Bank,Accessories,OnePlus,1999,4.3,27,18
P057,Dell USB-C Hub,Accessories,Dell,3999,4.2,16,15
P058,HP Laptop Backpack,Accessories,HP,2999,4.1,25,22
P059,Lenovo Wireless Mouse,Accessories,Lenovo,1799,4.3,33,17
P060,ASUS USB-C Dock,Accessories,ASUS,6999,4.4,12,13
