order_id,product,quantity,price,city
101,Laptop,1,65000,Bangalore
102,Mouse,2,1200,Delhi
103,Keyboard,1,2500,Pune
104,Monitor,2,18000,Mumbai
105,Headphones,3,3500,Chennai
106,Laptop,1,72000,Delhi
107,Mouse,5,1000,Pune
108,Keyboard,2,3000,Bangalore
109,Monitor,1,22000,Hyderabad
110,Tablet,1,35000,Mumbai
111,Headphones,2,4500,Pune
112,Laptop,2,68000,Chennai
113,Mouse,3,900,Delhi
114,Keyboard,1,2800,Mumbai
115,Monitor,2,19500,Bangalore
116,Tablet,2,32000,Delhi
117,Headphones,1,5000,Hyderabad
118,Laptop,1,75000,Pune
119,Mouse,4,1100,Mumbai
120,Keyboard,3,2700,Chennai
121,Monitor,1,21000,Delhi
122,Tablet,1,38000,Bangalore
123,Headphones,2,4200,Pune
124,Laptop,1,69000,Mumbai
125,Mouse,6,950,Hyderabad
126,Keyboard,2,3200,Delhi
127,Monitor,1,24000,Pune
128,Tablet,2,36000,Chennai
129,Headphones,3,3800,Bangalore
130,Laptop,1,71000,Hyderabad
131,Mouse,2,1300,Pune
132,Keyboard,1,2900,Mumbai
133,Monitor,2,20500,Chennai
134,Tablet,1,40000,Delhi
135,Headphones,2,4600,Bangalore
