order_id,product,quantity,price,city,revenue
101,Laptop,1,65000,Bangalore,65000
102,Mouse,2,1200,Delhi,2400
103,Keyboard,1,2500,Pune,2500
104,Monitor,2,18000,Mumbai,36000
105,Headphones,3,3500,Chennai,10500
106,Laptop,1,72000,Delhi,72000
107,Mouse,5,1000,Pune,5000
108,Keyboard,2,3000,Bangalore,6000
109,Monitor,1,22000,Hyderabad,22000
110,Tablet,1,35000,Mumbai,35000
111,Headphones,2,4500,Pune,9000
112,Laptop,2,68000,Chennai,136000
113,Mouse,3,900,Delhi,2700
114,Keyboard,1,2800,Mumbai,2800
115,Monitor,2,19500,Bangalore,39000
116,Tablet,2,32000,Delhi,64000
117,Headphones,1,5000,Hyderabad,5000
118,Laptop,1,75000,Pune,75000
119,Mouse,4,1100,Mumbai,4400
120,Keyboard,3,2700,Chennai,8100
121,Monitor,1,21000,Delhi,21000
122,Tablet,1,38000,Bangalore,38000
123,Headphones,2,4200,Pune,8400
124,Laptop,1,69000,Mumbai,69000
125,Mouse,6,950,Hyderabad,5700
126,Keyboard,2,3200,Delhi,6400
127,Monitor,1,24000,Pune,24000
128,Tablet,2,36000,Chennai,72000
129,Headphones,3,3800,Bangalore,11400
130,Laptop,1,71000,Hyderabad,71000
131,Mouse,2,1300,Pune,2600
132,Keyboard,1,2900,Mumbai,2900
133,Monitor,2,20500,Chennai,41000
134,Tablet,1,40000,Delhi,40000
135,Headphones,2,4600,Bangalore,9200
